26,A Pole,OTHER,0.000464322,0,0
31,"Ach, Sofya!",WORK_OF_ART,0.129361778,0,0
18,Afanasy Ivanitch,ORGANIZATION,0.003522307,0.300000012,0.300000012
4,Afanasy Ivanovitch,PERSON,2.11E-05,0,0
5,Afanasy Ivanovitch,PERSON,0.000224104,0,0
11,Afanasy Ivanovitch,PERSON,0.003261713,0,0
11,Afanasy Ivanovitch,PERSON,0.251657605,0.100000001,0.400000006
5,Afanasy Ivanovitch Vahrushin,ORGANIZATION,0.009429154,0,0
11,Afanasy Ivanovitch Vahrushin,LOCATION,0.073760606,0,0
12,Afanasy Pavlovitch,ORGANIZATION,0.001101247,0,0
14,Afrosinya,PERSON,0.079960287,0,0
9,Alexandr Grigorievitch,PERSON,0.028731851,0,0
11,Alexandr Grigorievitch,PERSON,0.013809144,0,0
11,Alexey Semyonovitch,PERSON,0.31913054,0,0.100000001
2,Alyona Ivanovna,PERSON,0.155695796,0,0
2,Alyona Ivanovna,PERSON,0.099543855,0,0
2,Alyona Ivanovna,PERSON,1,0.800000012,0.800000012
6,Alyona Ivanovna,PERSON,0.028172292,0,0
6,Alyona Ivanovna,PERSON,0.02840467,0.100000001,0.100000001
6,Alyona Ivanovna,PERSON,0.178451851,0,0
7,Alyona Ivanovna,PERSON,0.056901522,0,0.100000001
7,Alyona Ivanovna,PERSON,0.138121486,0,0.200000003
8,Alyona Ivanovna,PERSON,0.381752282,-0.100000001,0.100000001
8,Alyona Ivanovna,PERSON,0.322029471,0,0
8,Alyona Ivanovna,PERSON,0.05504521,-0.200000003,0.200000003
12,Alyona Ivanovna,PERSON,0.004344223,-0.100000001,0.200000003
20,Alyona Ivanovna,PERSON,0.163261116,0,0
20,Alyona Ivanovna,PERSON,0.003752317,0,0
27,Alyona Ivanovna,PERSON,0.663835049,-0.300000012,0.699999988
14,Alyoshka,PERSON,0.54722178,0.100000001,0.100000001
3,Amalia Fyodorovna,PERSON,0.009669012,0,0
3,Amalia Fyodorovna,PERSON,0.010758686,0.100000001,0.200000003
3,Amalia Fyodorovna Lippevechsel,LOCATION,0.000279731,0,0
15,Amalia Ivanovna,PERSON,0.394513547,0,0
15,Amalia Ivanovna,PERSON,0.499940604,0,1.399999976
28,Amalia Ivanovna,PERSON,0.059700616,0.100000001,0.800000012
28,Amalia Ivanovna,PERSON,0.00260685,0.300000012,0.300000012
29,Amalia Ivanovna,PERSON,0.008683453,0,0
29,Amalia Ivanovna,PERSON,0.006072874,0.100000001,0.100000001
29,Amalia Ivanovna,PERSON,0.184712037,0.100000001,2.200000048
29,Amalia Ivanovna,PERSON,0.156045318,0,0
29,Amalia Ivanovna,PERSON,0.086379565,-0.100000001,0.300000012
29,Amalia Ivanovna,PERSON,0.081141368,0,0.100000001
29,Amalia Ivanovna,PERSON,0.036137577,-0.100000001,0.200000003
29,Amalia Ivanovna,PERSON,0.256353259,-0.100000001,2.200000048
29,Amalia Ivanovna,PERSON,0.023574471,-0.100000001,0.400000006
29,Amalia Ivanovna,PERSON,0.021246964,0,0
29,Amalia Ivanovna,PERSON,0.005819999,0,0
29,Amalia Ivanovna,PERSON,0.361195266,0,0.200000003
29,Amalia Ivanovna,PERSON,0.171469554,-0.100000001,0.100000001
29,Amalia Ivanovna,PERSON,0.191460744,0,0.200000003
29,Amalia Ivanovna,PERSON,0.085727505,0,0.400000006
29,Amalia Ivanovna,PERSON,0.180141494,0,0.100000001
29,Amalia Ivanovna,PERSON,0.227124065,0,0
29,Amalia Ivanovna,PERSON,0.523484409,0,0.600000024
30,Amalia Ivanovna,PERSON,0.058159426,0,0.200000003
30,Amalia Ivanovna,PERSON,0.008585447,0,0
30,Amalia Ivanovna,PERSON,0.268052191,0,0
30,Amalia Ivanovna,PERSON,0.547943056,-0.100000001,0.5
30,Amalia Ivanovna,PERSON,0.572709441,0,0
30,Amalia Ivanovna,PERSON,0.006483761,0.100000001,0.100000001
30,Amalia Ivanovna,PERSON,0.035701323,-0.200000003,0.200000003
30,Amalia Ivanovna,PERSON,0.048822675,-0.600000024,0.600000024
30,Amalia Ivanovna,PERSON,0.021288559,-0.5,1.5
30,Amalia Ivanovna,PERSON,0.097073101,0,0.5
30,Amalia Ivanovna,PERSON,0.008591386,0,0
30,Amalia Ivanovna,PERSON,0.007105843,-0.400000006,0.800000012
31,Amalia Ivanovna,PERSON,0.304893553,0,0
32,Amalia Ivanovna,PERSON,0.038699772,-0.100000001,0.200000003
38,Amalia Ivanovna,PERSON,0.008732207,-0.100000001,0.100000001
3,Amalia Lippevechsel,PERSON,0.005494566,-0.100000001,0.100000001
3,Amalia Lippevechsel,PERSON,0.053131931,-0.200000003,0.899999976
15,Amalia Ludwigovna,PERSON,0.151445583,0,0
15,Amalia Ludwigovna,PERSON,0.605486453,0,0
15,Amalia Ludwigovna,PERSON,0.029921504,0,0.800000012
29,Amalia Ludwigovna,PERSON,0.005621108,0,0
32,Amalia Ludwigovna,PERSON,0.023293041,0.100000001,0.100000001
28,Andrey Semyonovitch,PERSON,0.00165974,-0.200000003,0.200000003
28,Andrey Semyonovitch,PERSON,0.177830145,0,1.399999976
28,Andrey Semyonovitch,PERSON,0.845305324,0,4.900000095
28,Andrey Semyonovitch,PERSON,0.2332986,0,1.200000048
28,Andrey Semyonovitch,PERSON,0.08595258,-0.300000012,2
28,Andrey Semyonovitch,PERSON,0.738710523,0,2
