Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
2,3,629,Baggins,PERSON,0.047970913,0,0.5
2,137,379,Baggins,PERSON,0.10296046,-0.100000001,0.600000024
19,18,277,Baggins,PERSON,0.007204677,0,0
19,54,256,Baggins,PERSON,0.007474468,-0.200000003,0.200000003
20,98,502,Baggins,PERSON,0.00272122,0.100000001,0.100000001
2,3,629,Bagginses,PERSON,0.278151542,0.100000001,0.5
2,4,1698,Bagginses,OTHER,0.002199382,0,0
2,80,757,bags,CONSUMER_GOOD,0.085648641,0,0
4,1,847,bags,CONSUMER_GOOD,0.026889659,0,0
4,61,543,bags,CONSUMER_GOOD,0.021881416,0.200000003,0.200000003
20,75,478,bags,OTHER,0.227974579,-0.300000012,0.300000012
7,81,40,Bake,OTHER,0.359267831,0.200000003,0.200000003
10,87,515,balance,OTHER,0.004811225,0,0
2,32,207,Balin,PERSON,0.01882546,0,0
2,35,174,Balin,PERSON,0.370744914,0,0.300000012
2,37,243,Balin,PERSON,0.544653475,0.100000001,0.200000003
2,42,78,Balin,PERSON,0.195874825,0,0
2,59,335,Balin,PERSON,0.01563189,0,0
2,80,757,Balin,PERSON,0.006374197,0,0
2,145,144,Balin,PERSON,0.058943514,0,0
3,21,75,Balin,PERSON,0.503948867,0,0
3,35,516,Balin,PERSON,0.105134472,0,0.100000001
3,69,203,Balin,PERSON,0.107909054,0.100000001,0.100000001
3,70,409,Balin,PERSON,0.49882251,0,0.400000006
3,73,476,Balin,PERSON,0.005541867,-0.100000001,0.100000001
4,3,319,Balin,PERSON,0.19658719,0,0
4,32,22,Balin,PERSON,0.810055673,0.100000001,0.100000001
